,Feature Importances
93,0.008461106197148951
822,0.007190629870945482
2007,0.006951805243030984
878,0.006421234217037044
1761,0.006419392627450949
683,0.005515275592335991
1874,0.005231811610674663
871,0.005034815898044804
1635,0.004717697397028398
658,0.004609170063289471
804,0.004521871723534002
733,0.0044553226042105
1672,0.004388406665324832
2419,0.004121019850631838
973,0.004079887552645467
2592,0.004070697133436677
516,0.003987982435810734
1625,0.003864443408519451
2410,0.0038137066682377148
1681,0.003724539397878599
2576,0.003695012138754385
2334,0.003689879834996974
1163,0.0036219390306359367
117,0.0035928588057390766
2575,0.0035276833706380213
887,0.003466633631906434
2004,0.003463567838677002
2579,0.00346300885427024
949,0.0033790828469453583
1291,0.0033735806130645303
864,0.003336869495685808
670,0.003323358427211223
627,0.0033197454975185535
177,0.003317899143186511
2011,0.003252913996192655
2507,0.00319070733663276
444,0.003132139926041525
2506,0.0031246040113292483
1718,0.0031154825317708384
1841,0.003108766243452027
2460,0.0031071914704025056
2445,0.003095464851816478
1104,0.0030700624768942864
463,0.0030644819805677216
1202,0.0030445181009008332
1075,0.003033127160602206
1778,0.003005250496612322
1059,0.003001333284945471
164,0.0029906985721268927
322,0.0029876737990038944
200,0.0029783803092825354
225,0.0029619172013882946
227,0.002944513109601348
2150,0.002924464708545644
1664,0.0029207698599823693
292,0.0029100443330940247
2581,0.0028990503727261115
2014,0.0028552217279373023
68,0.0028218941108278557
2440,0.002781904253071633
2471,0.0027771825784828853
1251,0.002716227947226557
162,0.002701538694962906
1096,0.0026861554520327454
354,0.002651809967836603
1245,0.002627077552209932
2058,0.002605822379528825
490,0.0026023379465577538
1772,0.0025968998463652697
224,0.0025869925767549756
467,0.0025561326988676825
1129,0.0025555428142271745
2008,0.00253638585126106
399,0.0025192827179141303
1268,0.0025057786457936713
1909,0.0024988620636077043
616,0.0024903213294017908
10,0.0024428647001383343
1219,0.002442164761504679
757,0.002429518327345137
1510,0.0023999973045910677
2067,0.002398592034307395
65,0.0023961852394817013
2411,0.0023842122949180042
1680,0.002383894122845723
2223,0.002359652667476384
1084,0.0023280540764381774
2500,0.0023042059112716624
429,0.0022912165672211984
1094,0.0022861776167415805
984,0.002272692440691228
1319,0.00225685289990067
1254,0.0022558848956942775
3,0.0022222325640777175
2494,0.0022221025711398586
2049,0.0021992712145173367
2270,0.0021904034656592183
2221,0.002187440186878865
2041,0.0021794496299588108
197,0.002177147277813721
2241,0.002176357354028954
1976,0.002173936516174808
2342,0.00217096947458596
1248,0.0021699499791764947
409,0.0021684807660763334
2235,0.002166833155151057
1947,0.0021567786873586364
2536,0.0021345743739776186
1025,0.002122916949587364
1910,0.0021101602215635906
464,0.0020730790020254304
847,0.0020196342722229653
1069,0.002016046389946547
1911,0.002014519349200944
1641,0.0020065917714274244
1648,0.0020020149009146474
2075,0.0019990769103610724
458,0.001981215802103844
1859,0.0019751755466911446
807,0.001968776946471545
895,0.0019515844072492865
74,0.0019472348734783707
2278,0.001895244563083143
2146,0.0018938391178424442
1310,0.0018606725191057578
2417,0.0018526310416241809
1399,0.0018522546023236085
1669,0.0018477431999852792
2068,0.0018352574903743204
1725,0.0018152670290664142
955,0.0018130966092747291
981,0.001803128017862938
518,0.0017981114195128262
2140,0.001796301806916978
2040,0.0017958644298105516
1027,0.0017740023433914036
999,0.0017710790575097318
2240,0.0017682184087717662
2199,0.001768060797141941
2337,0.0017625688064464673
1509,0.001760818717417313
203,0.0017571589391418441
889,0.0017477644986772691
1693,0.0017321905066265029
1100,0.0017286054935456482
881,0.0017274320720261878
684,0.0017223806668952015
139,0.0017115636264589651
1076,0.0017082403850650623
2595,0.0017014200781226491
390,0.0016946037500097902
241,0.0016937298091088842
833,0.0016918246322646267
544,0.0016835956753403138
514,0.0016794571301220085
50,0.001676445807966003
136,0.0016555567001227533
503,0.001654173458906138
594,0.001650500317592071
1010,0.0016499004345737565
72,0.001638371779529778
97,0.0016363616433678438
916,0.0016328141513060153
2341,0.0016295830424874506
585,0.0016218572135171822
982,0.0016212671832443728
2515,0.0016205520236874324
1071,0.0016163013497782041
858,0.0016123499384323953
506,0.00161195652997946
2458,0.001611414691871604
1315,0.001610533060494997
281,0.001607917366495242
741,0.0016062940723618599
116,0.0016059869055502698
1722,0.0016049611099200622
1670,0.0015844152419929609
1540,0.0015815372003491436
2583,0.0015812749794375783
1317,0.001574828845355271
1476,0.0015672467032509074
2416,0.0015647991767541352
723,0.0015628956650786219
307,0.001560340238761127
1728,0.0015559091338259393
404,0.001555475452311399
773,0.0015456603842181457
2412,0.001541669147250465
2225,0.001540519099562459
625,0.0015296886551578054
2446,0.0015265888618122968
2227,0.0015180999354558182
1839,0.0015165188761232335
2447,0.0015159307001219307
191,0.0015069992753483426
2300,0.0015016803779800655
2582,0.0014983319884393877
1748,0.0014957561666685548
600,0.0014874568242461417
2005,0.0014824154423512474
2306,0.0014806008615426516
66,0.0014763506302489554
145,0.001474175327088969
388,0.001473987073120493
112,0.001470840675199235
1005,0.001469448674168805
1633,0.0014671692770719805
2159,0.0014655214782871861
2259,0.0014599319295462588
1655,0.00145593064261146
352,0.0014479176229322485
694,0.0014467928470322917
1469,0.001443489408076226
1306,0.0014429317469608907
978,0.0014387977051573977
1121,0.0014365774099102122
389,0.0014353517802915443
61,0.0014313465346560297
2279,0.0014248689840980293
396,0.0014247350485382551
975,0.00142276477711856
1687,0.0014211215790102588
1056,0.0014188708802053045
540,0.0014141927660668299
325,0.001412018320870441
1197,0.0014035722776459152
1302,0.0013992449834197675
721,0.0013962693817837573
2228,0.0013927826779030416
2591,0.0013900601424324947
1236,0.0013827176080481627
118,0.0013821105703335007
1004,0.001378080431836573
2229,0.0013765768023472555
1611,0.0013689445485393042
491,0.0013668752882590434
275,0.0013653114230348245
