Num Features,k Value,Mean Accuracy
100,3,0.684375
100,4,0.634375
100,5,0.609375
100,6,0.596875
100,7,0.571875
100,8,0.534375
100,9,0.546875
100,10,0.521875
100,11,0.509375
100,12,0.53125
100,13,0.53125
100,14,0.521875
100,15,0.50625
100,16,0.509375
100,17,0.490625
100,18,0.509375
100,19,0.503125
100,20,0.478125
110,3,0.684375
110,4,0.634375
110,5,0.609375
110,6,0.596875
110,7,0.571875
110,8,0.534375
110,9,0.546875
110,10,0.521875
110,11,0.509375
110,12,0.53125
110,13,0.53125
110,14,0.521875
110,15,0.50625
110,16,0.509375
110,17,0.490625
110,18,0.509375
110,19,0.503125
110,20,0.478125
120,3,0.684375
120,4,0.634375
120,5,0.615625
120,6,0.60625
120,7,0.575
120,8,0.55
120,9,0.546875
120,10,0.525
120,11,0.509375
120,12,0.534375
120,13,0.534375
120,14,0.525
120,15,0.5125
120,16,0.509375
120,17,0.49375
120,18,0.503125
120,19,0.5
120,20,0.484375
130,3,0.68125
130,4,0.6375
130,5,0.621875
130,6,0.609375
130,7,0.553125
130,8,0.521875
130,9,0.51875
130,10,0.5
130,11,0.5
130,12,0.521875
130,13,0.5375
130,14,0.521875
130,15,0.51875
130,16,0.5125
130,17,0.49375
130,18,0.5
130,19,0.496875
130,20,0.496875
140,3,0.68125
140,4,0.6375
140,5,0.621875
140,6,0.609375
140,7,0.553125
140,8,0.521875
140,9,0.51875
140,10,0.5
140,11,0.5
140,12,0.521875
140,13,0.5375
140,14,0.521875
140,15,0.51875
140,16,0.5125
140,17,0.49375
140,18,0.5
140,19,0.496875
140,20,0.496875
150,3,0.68125
150,4,0.6375
150,5,0.621875
150,6,0.609375
150,7,0.553125
150,8,0.521875
150,9,0.51875
150,10,0.5
150,11,0.5
150,12,0.521875
150,13,0.5375
150,14,0.521875
150,15,0.51875
150,16,0.5125
150,17,0.49375
150,18,0.5
150,19,0.496875
150,20,0.496875
160,3,0.68125
160,4,0.6375
160,5,0.621875
160,6,0.609375
160,7,0.553125
160,8,0.521875
160,9,0.51875
160,10,0.5
160,11,0.5
160,12,0.521875
160,13,0.5375
160,14,0.521875
160,15,0.51875
160,16,0.5125
160,17,0.49375
160,18,0.5
160,19,0.496875
160,20,0.496875
