Num Features,k Value,Mean Accuracy
50,3,0.6375
50,4,0.55
50,5,0.51875
50,6,0.4625
50,7,0.465625
50,8,0.4625
50,9,0.453125
50,10,0.440625
50,11,0.446875
50,12,0.46875
50,13,0.45625
50,14,0.434375
50,15,0.425
50,16,0.428125
50,17,0.4375
50,18,0.425
50,19,0.403125
50,20,0.403125
60,3,0.66875
60,4,0.58125
60,5,0.54375
60,6,0.51875
60,7,0.528125
60,8,0.528125
60,9,0.521875
60,10,0.50625
60,11,0.484375
60,12,0.4875
60,13,0.475
60,14,0.45625
60,15,0.43125
60,16,0.428125
60,17,0.453125
60,18,0.425
60,19,0.40625
60,20,0.415625
70,3,0.671875
70,4,0.584375
70,5,0.54375
70,6,0.509375
70,7,0.528125
70,8,0.525
70,9,0.51875
70,10,0.509375
70,11,0.484375
70,12,0.48125
70,13,0.471875
70,14,0.459375
70,15,0.440625
70,16,0.4375
70,17,0.45
70,18,0.428125
70,19,0.396875
70,20,0.4125
80,3,0.671875
80,4,0.584375
80,5,0.54375
80,6,0.509375
80,7,0.528125
80,8,0.525
80,9,0.51875
80,10,0.509375
80,11,0.484375
80,12,0.48125
80,13,0.471875
80,14,0.459375
80,15,0.440625
80,16,0.4375
80,17,0.45
80,18,0.428125
80,19,0.396875
80,20,0.4125
90,3,0.678125
90,4,0.590625
90,5,0.546875
90,6,0.5125
90,7,0.53125
90,8,0.525
90,9,0.51875
90,10,0.509375
90,11,0.484375
90,12,0.48125
90,13,0.471875
90,14,0.459375
90,15,0.440625
90,16,0.4375
90,17,0.45
90,18,0.421875
90,19,0.390625
90,20,0.409375
100,3,0.678125
100,4,0.590625
100,5,0.55
100,6,0.51875
100,7,0.540625
100,8,0.53125
100,9,0.51875
100,10,0.509375
100,11,0.484375
100,12,0.48125
100,13,0.471875
100,14,0.459375
100,15,0.440625
100,16,0.440625
100,17,0.45
100,18,0.421875
100,19,0.3875
100,20,0.40625
110,3,0.6625
110,4,0.58125
110,5,0.571875
110,6,0.525
110,7,0.525
110,8,0.484375
110,9,0.44375
110,10,0.440625
110,11,0.415625
110,12,0.425
110,13,0.3875
110,14,0.38125
110,15,0.384375
110,16,0.390625
110,17,0.371875
110,18,0.328125
110,19,0.34375
110,20,0.36875
120,3,0.6625
120,4,0.58125
120,5,0.571875
120,6,0.525
120,7,0.525
120,8,0.4875
120,9,0.446875
120,10,0.440625
120,11,0.415625
120,12,0.425
120,13,0.3875
120,14,0.38125
120,15,0.384375
120,16,0.390625
120,17,0.371875
120,18,0.328125
120,19,0.34375
120,20,0.36875
130,3,0.6625
130,4,0.58125
130,5,0.571875
130,6,0.525
130,7,0.525
130,8,0.4875
130,9,0.446875
130,10,0.440625
130,11,0.415625
130,12,0.425
130,13,0.3875
130,14,0.38125
130,15,0.384375
130,16,0.390625
130,17,0.371875
130,18,0.328125
130,19,0.34375
130,20,0.36875
140,3,0.6625
140,4,0.58125
140,5,0.565625
140,6,0.525
140,7,0.525
140,8,0.4875
140,9,0.446875
140,10,0.440625
140,11,0.415625
140,12,0.425
140,13,0.3875
140,14,0.38125
140,15,0.384375
140,16,0.390625
140,17,0.371875
140,18,0.328125
140,19,0.34375
140,20,0.36875
150,3,0.6625
150,4,0.58125
150,5,0.565625
150,6,0.525
150,7,0.525
150,8,0.48125
150,9,0.44375
150,10,0.440625
150,11,0.415625
150,12,0.425
150,13,0.3875
150,14,0.38125
150,15,0.384375
150,16,0.390625
150,17,0.371875
150,18,0.328125
150,19,0.34375
150,20,0.36875
