,MI Scores
1000,0.7288729909372835
2202,0.7283325139716827
2410,0.7230513275622721
619,0.7229522182549157
1625,0.7198546332738567
706,0.7196818253040098
847,0.7134253776034802
97,0.7079041848551744
1725,0.7059576465081165
1248,0.7015578519949122
2142,0.7012082973778946
2150,0.6942200649056358
67,0.6900919970421879
516,0.6897791455537043
2158,0.6869512823392283
513,0.6856257610386491
1641,0.6803929228071139
687,0.6774107914420495
65,0.6746168642172174
2019,0.673852427633546
1253,0.6691877052200963
1840,0.6690776746811229
1412,0.6687817364561441
1025,0.6672050418844295
1784,0.6613846340769158
2278,0.6598956818468609
1068,0.6591381315808973
2011,0.6575252164341754
2506,0.6566178230947455
177,0.6551152606648438
2010,0.6533913019808266
1673,0.6531243707941241
2110,0.6526440699028813
1096,0.6522481920147927
2595,0.6521178899133742
2413,0.6518071943101478
462,0.6510446985330214
2512,0.6506419509647254
871,0.6498777361184784
1251,0.6496397750522296
2007,0.6484707221075259
1408,0.6482418388960409
199,0.6479857412359644
197,0.647794540551226
1202,0.6451203073005198
864,0.644865339872934
2554,0.6446644019997942
2201,0.6437160812891258
2225,0.6432552945923384
1773,0.6429694526579686
1023,0.6427132233164512
2204,0.641346916428349
504,0.6407782336212327
2200,0.6402706731515933
1104,0.6392312417108239
1301,0.6388275023681607
1540,0.6369955761406954
307,0.6359066838327534
1761,0.6357131062284684
1910,0.6347939008893375
1771,0.6343630540649086
1859,0.6342977013915463
2221,0.6342542748404794
2336,0.6338176345020612
1028,0.6270422133335669
1087,0.6265830547970692
1129,0.6263141495937246
625,0.6257484984618178
950,0.6246579501814984
1005,0.6246533943844275
531,0.6244682923481475
1018,0.6239913836524358
191,0.6232044275079209
1772,0.6226739813178335
2557,0.6219748269109098
701,0.6158863353468857
1670,0.6156420664460787
616,0.61561940069142
2511,0.6151988360105831
1693,0.6142986662455803
1099,0.6140995297660206
2334,0.6132121584568186
1100,0.6119030309917373
956,0.6117020961790636
477,0.6100965540199796
2536,0.6099848008490079
773,0.6099261285072026
2230,0.6087559870320662
50,0.6087451487651205
540,0.6086917741047981
2576,0.6081640494386009
1839,0.6068185011676683
1841,0.6057512809820245
2553,0.6045091061587817
2440,0.604185595478536
118,0.6041432782209317
464,0.6038335027174737
2592,0.6032964544532851
2600,0.6025448748044051
290,0.6020749773836362
325,0.6020164650711348
1669,0.6006349935647206
1829,0.5967766529699339
742,0.5962674280408942
162,0.5953046811441953
627,0.5943240092661315
598,0.5933818117136871
878,0.5930281512422388
1130,0.591847692370119
1874,0.5916346819656477
2529,0.5899876356552645
2157,0.5887656559238477
2338,0.587634704403333
671,0.586673006736421
117,0.5852268765684121
1286,0.584203353736086
293,0.5840404444612644
973,0.5839775546146522
670,0.5834815281747507
467,0.5831517684364789
189,0.5824415732869161
385,0.5816601769830632
1572,0.5812734701515834
1219,0.5795811272274434
2240,0.5785142378021393
684,0.5784831791915681
1643,0.5783667784632192
428,0.5775756648027728
503,0.5761520263128834
2515,0.5754568624963641
119,0.5737110629940791
2417,0.5729772543785399
1648,0.5720432318980875
2109,0.570312170153729
2537,0.5699174471109765
2412,0.5692300780207757
2008,0.5677473333294834
2579,0.567639894020386
2419,0.5672986603313281
1084,0.565007429404758
762,0.564820562889617
2507,0.5640734099448286
396,0.5628929350625547
1027,0.5626599406047672
164,0.5625790046668171
2472,0.5620175751783416
1585,0.5615951318379613
1860,0.5613019417474754
1729,0.5607310769245848
682,0.5592687359702082
2599,0.5581554866445169
1692,0.5568620909909898
200,0.5535147959892446
1794,0.5534703457731351
292,0.5526139546811497
2521,0.5524342702558767
277,0.5522826644405048
2270,0.5522782124743666
2503,0.5516472121107516
1728,0.5513859623480779
2040,0.547785305518445
852,0.5467633686266793
981,0.5466616844491303
205,0.5439458183859225
1430,0.5438496573099001
1013,0.5436846960788626
93,0.5414843954229165
136,0.5411970524173406
2575,0.5410474907154017
999,0.539577204249339
2004,0.5389073054719709
112,0.5387400131917586
2526,0.5371192640929505
318,0.5367470438468174
1149,0.5367425395603269
1315,0.535967533665278
1537,0.5355185864857062
2587,0.5351845547984964
980,0.5351062335489969
1121,0.5345546492477999
1701,0.534204076492093
1038,0.5333973454217527
1211,0.5323135168306448
1319,0.5320219938676032
683,0.5317956440332918
1406,0.5309882002361137
2501,0.5299572789289788
1097,0.5288916704854143
1652,0.5234514297957369
2041,0.5230322744766327
490,0.5220379694474224
1163,0.5204571543263277
389,0.5202037747484387
1231,0.5194378266920443
1626,0.5192451540228225
1268,0.5190304400854233
