Num Features,k Value,Mean Accuracy
100,3,0.6599860772711451
100,4,0.6540828402366865
100,5,0.6847894187260704
100,6,0.6742011834319527
100,7,0.7013226592412114
100,8,0.6848172641837801
100,9,0.6895092238078664
100,10,0.6800765750087018
100,11,0.6989488339714585
100,12,0.6871423599025409
100,13,0.7000974591019838
100,14,0.6953846153846154
100,15,0.6942081447963802
100,16,0.6930455969369997
100,17,0.6953846153846154
100,18,0.6989488339714585
100,19,0.715461190393317
100,20,0.7060146188652976
200,3,0.6705951966585452
200,4,0.6753567699269057
200,5,0.6789001044204663
200,6,0.681253045596937
200,7,0.6966098155238426
200,8,0.6871562826313957
200,9,0.7012948137835016
200,10,0.7001183431952662
200,11,0.6977793247476505
200,12,0.7001461886529758
200,13,0.7107622694048034
200,14,0.6989766794291682
200,15,0.709550991994431
200,16,0.6965680473372781
200,17,0.7095649147232856
200,18,0.7025060911938741
200,19,0.7071910894535329
200,20,0.7012739296902193
300,3,0.6847685346327881
300,4,0.6694465715280196
300,5,0.6836338322311173
300,6,0.6836407935955447
300,7,0.693066481030282
300,8,0.6907205012182389
300,9,0.6930734423947094
300,10,0.6978141315697878
300,11,0.7001322659241211
300,12,0.7025200139227289
300,13,0.6977932474765054
300,14,0.7072119735468151
300,15,0.7154681517577445
300,16,0.7071980508179603
300,17,0.7048172641837801
300,18,0.7130873651235643
300,19,0.7107413853115212
300,20,0.7166376609815523
400,3,0.6729759832927253
400,4,0.6694465715280196
400,5,0.6765402018795683
400,6,0.6859658893143056
400,7,0.6859658893143056
400,8,0.6812669683257918
400,9,0.6765541246084232
400,10,0.6789209885137487
400,11,0.6777166724678038
400,12,0.6871562826313957
400,13,0.6918830490776192
400,14,0.6836199095022625
400,15,0.6942429516185171
400,16,0.6977793247476505
400,17,0.7013226592412113
400,18,0.6965889314305604
400,19,0.7024782457361642
400,20,0.6906648103028193
500,3,0.6741385311521059
500,4,0.6623042116254786
500,5,0.6729481378350156
500,6,0.6717995127044901
500,7,0.680048729550992
500,8,0.6871632439958233
500,9,0.6906508875739645
500,10,0.6906717716672468
500,11,0.6883118691263488
500,12,0.681253045596937
500,13,0.6930386355725722
500,14,0.6895301079011487
500,15,0.688332753219631
500,16,0.6930247128437175
500,17,0.6989140271493212
500,18,0.6977514792899409
500,19,0.6918273581621998
500,20,0.6918273581621998
600,3,0.6386773407587887
600,4,0.6481517577445179
600,5,0.6705951966585452
600,6,0.6540758788722589
600,7,0.6788792203271842
600,8,0.6635572572224157
600,9,0.6564636268708667
600,10,0.6682422554820746
600,11,0.668249216846502
600,12,0.6800348068221371
600,13,0.6812321615036548
600,14,0.6824086320918901
600,15,0.6812112774103724
600,16,0.6823877479986077
600,17,0.6812043160459449
600,18,0.6741385311521058
600,19,0.6859101983988862
600,20,0.6835990254089802
700,3,0.6386703793943613
700,4,0.6505255830142709
700,5,0.658795683954055
700,6,0.6564775495997215
700,7,0.6623320570831883
700,8,0.6564357814131571
700,9,0.6753150017403412
700,10,0.6682074486599373
700,11,0.6729133310128785
700,12,0.6635224504002786
700,13,0.6765193177862862
700,14,0.6741385311521059
700,15,0.6894813783501565
700,16,0.6706369648451096
700,17,0.6859450052210233
700,18,0.6670727462582666
700,19,0.6824434389140273
700,20,0.6741594152453881
