Number of Features,Fold,Accuracy
100,Fold 1,0.6352941176470588
100,Fold 2,0.6705882352941176
100,Fold 3,0.7692307692307693
100,Fold 4,0.7396449704142012
100,Fold 5,0.7751479289940828
150,Fold 1,0.7
150,Fold 2,0.6470588235294118
150,Fold 3,0.7396449704142012
150,Fold 4,0.727810650887574
150,Fold 5,0.7100591715976331
200,Fold 1,0.711764705882353
200,Fold 2,0.7
200,Fold 3,0.7869822485207101
200,Fold 4,0.7159763313609467
200,Fold 5,0.6982248520710059
250,Fold 1,0.6647058823529411
250,Fold 2,0.7
250,Fold 3,0.7159763313609467
250,Fold 4,0.6745562130177515
250,Fold 5,0.7100591715976331
300,Fold 1,0.6411764705882353
300,Fold 2,0.6764705882352942
300,Fold 3,0.7514792899408284
300,Fold 4,0.6923076923076923
300,Fold 5,0.7041420118343196
350,Fold 1,0.6411764705882353
350,Fold 2,0.6411764705882353
350,Fold 3,0.757396449704142
350,Fold 4,0.7100591715976331
350,Fold 5,0.7100591715976331
400,Fold 1,0.6764705882352942
400,Fold 2,0.6352941176470588
400,Fold 3,0.7455621301775148
400,Fold 4,0.6863905325443787
400,Fold 5,0.6568047337278107
450,Fold 1,0.6352941176470588
450,Fold 2,0.6529411764705882
450,Fold 3,0.7337278106508875
450,Fold 4,0.7159763313609467
450,Fold 5,0.6982248520710059
500,Fold 1,0.6411764705882353
500,Fold 2,0.6823529411764706
500,Fold 3,0.7396449704142012
500,Fold 4,0.7159763313609467
500,Fold 5,0.6863905325443787
550,Fold 1,0.6352941176470588
550,Fold 2,0.6705882352941176
550,Fold 3,0.7692307692307693
550,Fold 4,0.6923076923076923
550,Fold 5,0.7159763313609467
600,Fold 1,0.6647058823529411
600,Fold 2,0.6647058823529411
600,Fold 3,0.7928994082840237
600,Fold 4,0.7041420118343196
600,Fold 5,0.7100591715976331
650,Fold 1,0.6352941176470588
650,Fold 2,0.6941176470588235
650,Fold 3,0.7928994082840237
650,Fold 4,0.7100591715976331
650,Fold 5,0.7041420118343196
700,Fold 1,0.6529411764705882
700,Fold 2,0.6823529411764706
700,Fold 3,0.7988165680473372
700,Fold 4,0.727810650887574
700,Fold 5,0.7337278106508875
750,Fold 1,0.6764705882352942
750,Fold 2,0.7
750,Fold 3,0.7810650887573964
750,Fold 4,0.7514792899408284
750,Fold 5,0.7100591715976331
