Number of Features,Fold,Accuracy
100,Fold 1,0.711764705882353
100,Fold 2,0.7
100,Fold 3,0.6627218934911243
100,Fold 4,0.7337278106508875
100,Fold 5,0.727810650887574
150,Fold 1,0.7058823529411765
150,Fold 2,0.7
150,Fold 3,0.7100591715976331
150,Fold 4,0.7218934911242604
150,Fold 5,0.7041420118343196
200,Fold 1,0.7294117647058823
200,Fold 2,0.6647058823529411
200,Fold 3,0.7218934911242604
200,Fold 4,0.7633136094674556
200,Fold 5,0.6627218934911243
250,Fold 1,0.6588235294117647
250,Fold 2,0.6882352941176471
250,Fold 3,0.6923076923076923
250,Fold 4,0.727810650887574
250,Fold 5,0.7100591715976331
300,Fold 1,0.711764705882353
300,Fold 2,0.6823529411764706
300,Fold 3,0.6686390532544378
300,Fold 4,0.7218934911242604
300,Fold 5,0.6982248520710059
350,Fold 1,0.7058823529411765
350,Fold 2,0.6882352941176471
350,Fold 3,0.7100591715976331
350,Fold 4,0.7633136094674556
350,Fold 5,0.7396449704142012
400,Fold 1,0.7294117647058823
400,Fold 2,0.7411764705882353
400,Fold 3,0.7100591715976331
400,Fold 4,0.7455621301775148
400,Fold 5,0.7100591715976331
450,Fold 1,0.7529411764705882
450,Fold 2,0.7235294117647059
450,Fold 3,0.7041420118343196
450,Fold 4,0.7337278106508875
450,Fold 5,0.7159763313609467
500,Fold 1,0.7058823529411765
500,Fold 2,0.7058823529411765
500,Fold 3,0.6982248520710059
500,Fold 4,0.7692307692307693
500,Fold 5,0.7159763313609467
550,Fold 1,0.7294117647058823
550,Fold 2,0.7411764705882353
550,Fold 3,0.7396449704142012
550,Fold 4,0.7218934911242604
550,Fold 5,0.7100591715976331
600,Fold 1,0.6941176470588235
600,Fold 2,0.6823529411764706
600,Fold 3,0.7041420118343196
600,Fold 4,0.7396449704142012
600,Fold 5,0.7159763313609467
650,Fold 1,0.7
650,Fold 2,0.6882352941176471
650,Fold 3,0.7041420118343196
650,Fold 4,0.757396449704142
650,Fold 5,0.7337278106508875
700,Fold 1,0.7294117647058823
700,Fold 2,0.7176470588235294
700,Fold 3,0.6982248520710059
700,Fold 4,0.7337278106508875
700,Fold 5,0.727810650887574
750,Fold 1,0.711764705882353
750,Fold 2,0.6941176470588235
750,Fold 3,0.7041420118343196
750,Fold 4,0.7455621301775148
750,Fold 5,0.727810650887574
